"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.selftext","Input.title","Answer.crowd_input","Approve","Reject"
"3ZXV7Q5FKLM2YRYWFBK7I53HLAKCFD","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","3DY46V3X30GSKTTMLRPS772K1LR55F","A2GM5BW75YCKKW","Approved","Tue Feb 07 15:37:37 PST 2023","Tue Feb 07 15:37:52 PST 2023","Thu Feb 09 15:37:52 PST 2023","Thu Feb 09 15:38:36 PST 2023","","","15","100% (25/25)","100% (25/25)","100% (25/25)","Tomorrow I leave for college after spening 2 months at home an it is going to be a long train journey- 22 hours. Suggest me movies that I otherwise wouln't watch. Movies that one sees when that is all he can o. Doesn't necessarily have to be long. Just give me your best suggestions.

Thank you in avance.","Movie Recommendations for Train Journey tomorrow",","
"38EHZ67RJWQLLD6I3KK33M85G3OMG4","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","3L4PIM1GQ4EFR414T07SL559O8JRYU","A22KRF782ELLB0","Approved","Tue Feb 07 15:36:36 PST 2023","Tue Feb 07 15:36:59 PST 2023","Thu Feb 09 15:36:59 PST 2023","Thu Feb 09 15:37:36 PST 2023","","","23","100% (15/15)","100% (15/15)","100% (15/15)","Hey guys im looking for a movie i watche along time ago but cant fin it
It was about a guy talking to his mom who is ying in hospital an he mentions go an heaven an afterlife an everyone at the hospital are shocke an no one in his worl knows about go or afterlife so he gets famous an people keep asking him questions, its a comey movie","Comedy/god/afterlife",","
"32ZCLEW0C9I1XITW36XYH3UGD0GJP1","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","3HWRJOOETG0TMEKQ8OV34CIPSYXSE4","A1L8RL58MYU4NC","Approved","Tue Feb 07 15:37:33 PST 2023","Tue Feb 07 15:39:16 PST 2023","Thu Feb 09 15:39:16 PST 2023","Thu Feb 09 15:39:36 PST 2023","","","103","100% (10/10)","100% (10/10)","100% (10/10)","Whenever a question about this is aske, a very specific crop of fairly popular movies get mentione. So I was curious as to which lesser-known films that came out in VOD or streaming, have a lot of raunch in them. 

I'm looking for movies with a lot of **simulate sex scenes (the sex isn't real)**, so no pornos an no films like Shortbus an 9 Songs (which were theatrical releases, but you know what I mean). Also, try to stick to relatively more obscure films, an not streaming hits like 365 Days","Non-theatrical films (streaming/VOD) with the most sex scenes",","
"3O0M2G5VDG0Q2DU4JAEXPB5IQZ8490","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","317HQ483IIQ8M6U7WB48QX6BXSWNIW","A3P7M9666KJCP","Approved","Tue Feb 07 15:37:07 PST 2023","Tue Feb 07 15:37:19 PST 2023","Thu Feb 09 15:37:19 PST 2023","Thu Feb 09 15:37:36 PST 2023","","","12","100% (41/41)","100% (41/41)","100% (41/41)","i really like true crime ocumentaries, mystery shows/movies (minhunter, no escape, the walking ea, gone girl) just anything that makes you guess lol","mystery/fast paced movies/shows?",","
"30EV7DWJU5TJI16QAAZSLQINVZZ6YC","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","37TRT2X241P2G8PGB3KZB3LHTI7JBF","AL6TUFYAMT6U4","Approved","Tue Feb 07 15:29:50 PST 2023","Tue Feb 07 15:30:19 PST 2023","Thu Feb 09 15:30:19 PST 2023","Thu Feb 09 15:30:37 PST 2023","","","29","100% (15/15)","100% (15/15)","100% (15/15)","Whenever a question about this is aske, a very specific crop of fairly popular movies get mentione. So I was curious as to which lesser-known films that came out in VOD or streaming, have a lot of raunch in them. 

I'm looking for movies with a lot of **simulate sex scenes (the sex isn't real)**, so no pornos an no films like Shortbus an 9 Songs (which were theatrical releases, but you know what I mean). Also, try to stick to relatively more obscure films, an not streaming hits like 365 Days","Non-theatrical films (streaming/VOD) films with the most sex scenes","popular movies, VOD or streaming"
"31ANT7FQOI01D2GNVRLZ7K9K98BH58","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","36DSNE9QZGWMZ2EPF8PLHNLG0HQJOJ","A2VRQML8Q3XYP4","Approved","Tue Feb 07 15:31:43 PST 2023","Tue Feb 07 15:32:08 PST 2023","Thu Feb 09 15:32:08 PST 2023","Thu Feb 09 15:32:36 PST 2023","","","25","100% (20/20)","100% (20/20)","100% (20/20)","I’m looking for a movie with a twist at the en. Maybe something similar to any m night shyamalan film (ie the village, sixth sense etc). Looking for films in the last ten years but oler r welcome also.","movie with twist ending","the village, sixth sense"
"3N2YPY1GJGW6RM40BHV6QF66UGLEVW","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","3BEFOD78WHR8WHASZLN4JH7SNKL4MY","A3P7M9666KJCP","Approved","Tue Feb 07 15:34:09 PST 2023","Tue Feb 07 15:35:18 PST 2023","Thu Feb 09 15:35:18 PST 2023","Thu Feb 09 15:35:36 PST 2023","","","69","100% (41/41)","100% (41/41)","100% (41/41)","Looking for a vibe similar to Legally Blone, in that it’s a funny but not umb film, nothing too heavy, feel goo sort of flick. So far have foun Romy &amp; Michele’s High School Reunion, Return to Me, How to Lose a Guy in 10 Days, Have You Hear About the Morgan’s, Devil Wears Praa, Never Been Kisse, Easy A, Death Becomes Her, Buffy the Vampire Slayer, Mean Girls, Sweet Home Alabama. Worrie I may have exhauste the stash here","Similar Vibe to Legally Blonde","Legally Blone,Romy & Michele’s High School Reunion,Return to Me, How to Lose a Guy in 10 Days, Have You Hear About the Morgan’s, Devil Wears Praa, Never Been Kisse, Easy A, Death Becomes Her, Buffy the Vampire Slayer, Mean Girls, Sweet Home Alabama"
"378G7J1SKVWJ6B451R02CHPK1PNEW6","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:15 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:15 PST 2023","","","37Q970SNZP6U2DQEW00OXSZV3PSS1K","AL6TUFYAMT6U4","Approved","Tue Feb 07 15:24:02 PST 2023","Tue Feb 07 15:24:30 PST 2023","Thu Feb 09 15:24:30 PST 2023","Thu Feb 09 15:24:36 PST 2023","","","28","100% (15/15)","100% (15/15)","100% (15/15)","My girlfrien an I watche this on Netflix an love it. Any Spaniar movies like it that make you feel goo an have a goo story?","Spaniard movies like Diecisiete (seventeen) 2019?","My girlfrien,Any Spaniar"
"3V0TR1NRWK047W49BGSXL6G2WHQ4AF","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:14 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:14 PST 2023","","","3G5F9DBFO0VLYGSWSK8E02Z9JIJHVE","A22KRF782ELLB0","Approved","Tue Feb 07 15:33:48 PST 2023","Tue Feb 07 15:34:30 PST 2023","Thu Feb 09 15:34:30 PST 2023","Thu Feb 09 15:34:37 PST 2023","","","42","100% (15/15)","100% (15/15)","100% (15/15)","I'm looking for movies like liberal arts, goo will hunting, meet joe black... with the movie approaching love from ifferent angles... A feel goo movie that enhances an enriches the iea of love in our mins...","Looking for movies like liberal arts","liberal arts,goo will hunting,meet joe black"
"338431Z1GVD0A608WBTSUUBHDCEORH","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 07 15:22:15 PST 2023","1","BatchId:5005636;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 10 15:22:15 PST 2023","","","3DQQ64TANRJQQMQP17LFVDKECIUWP7","A9K0CV70JWG1W","Approved","Tue Feb 07 15:25:35 PST 2023","Tue Feb 07 15:25:58 PST 2023","Thu Feb 09 15:25:58 PST 2023","Thu Feb 09 15:26:36 PST 2023","","","23","100% (30/30)","100% (30/30)","100% (30/30)","I have pretty eclectic taste in movies, but after a stressful ay, The Intern is my favorite “estress an unwin” movie. It’s warm, uplifting, an has goo original music comps an great actors (Anne Hathaway, Robert De Niro, Anrew Rannells…like how many rooms o you think exploe with joy uring the making of this movie). Also love that it’s not rom com-y. But movies that fit this escription are har to fin!!

What o you recommen that’s positive/funny/uplifting, has goo actors, lighthearte music, an isn’t rom com-y?","Movies like The Intern (2015)?","The Intern"
