"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.selftext","Input.title","Answer.crowd_input","Approve","Reject"
"301KG0KXAMJ9E5X0D8J19D68Q5IH2K","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:54 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:54 PST 2023","","","3LOTDFNYAIXEZ91VN4PAJJ6ABHZWF7","A9HQ3E0F2AGVO","Submitted","Tue Feb 14 11:23:40 PST 2023","Tue Feb 14 11:23:54 PST 2023","Thu Feb 16 11:23:54 PST 2023","","","","14","100% (18/18)","100% (16/16)","100% (16/16)","It's been a long time since i saw something like the above two movies or like A Fish Calle Wana. I crave ry humour.","A funny movie. The Dictator funny or Death at a funeral funny. Dry and dark humor.","A Fish Called Wanda"
"302OLP89E95720HO4VYF44SQP15CAD","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:59 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:59 PST 2023","","","3VNXK88KKNGSJAADU8KMNL1L1A1V93","A31Z5TPD8QKE26","Submitted","Tue Feb 14 11:20:46 PST 2023","Tue Feb 14 11:21:08 PST 2023","Thu Feb 16 11:21:08 PST 2023","","","","22","0% (0/0)","0% (0/0)","0% (0/0)","I'm talking about movies like Mean Streets by Scorsese (not really the first, but it i put him on a map for sure) or Reservoir Dogs by Tarantino, Eraserhea by Davi Lynch. Something like those","What outstanding debut movies of new young directors you know?","Mean Streets, Reservoir Dogs, Eraserhea"
"307FVKVSZ1DMOU6B4DGDBFECWGI471","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:54 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:54 PST 2023","","","3EF8EXOTTCT13A7O96RA5R888B71JG","ARJ0E51KXRFOC","Submitted","Tue Feb 14 11:19:58 PST 2023","Tue Feb 14 11:20:42 PST 2023","Thu Feb 16 11:20:42 PST 2023","","","","44","0% (0/0)","0% (0/0)","0% (0/0)","Basic Instinct, Cape Fear, Boy Double, Sleeping With the Enemy, Fatal Attracion, Dea Calm, What Lies Beneath, Wil Things, an American Gigolo","Looking for more pre-2000 neo-noir films in the vain of the ones listed?","Basic Instinct, Cape Fear, Boy Double, Sleeping With the Enemy, Fatal Attracion, Dea Calm, What Lies Beneath, Wil Things, American Gigolo"
"307FVKVSZ1DMOU6B4DGDBFECWGI744","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:59 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:59 PST 2023","","","3O7L7BFSHPN4S0HU3C1P0AC2K5NEI1","A1L8RL58MYU4NC","Submitted","Tue Feb 14 11:29:54 PST 2023","Tue Feb 14 11:31:05 PST 2023","Thu Feb 16 11:31:05 PST 2023","","","","71","100% (10/10)","100% (10/10)","100% (10/10)","I am going on a shoppingspree an I love those kin of movies so heres what I like an if you coul suggest things that are similar, thanks :D

sherlock

win river

prisoners

knives out 1&amp;2

only murers in the builing

the girl with the ragon tattoo

in orer of isapearence

hannibal

se7en

the secret in their eyes

the invisible guest

the boy

tell no one

memories of murer

true etective

mare of easttown

bakcyar

sharp objects

the five

chinatown

l.a. confiential

ientity

Where the Crawas Sing

the juge

the lincoln lawyer

lucky number slevin

heat

Ba Times at the El Royale

Ba Times at the El Royale

minhunter

the usual suspects

thank you for the suggestions :D","Investigative murder or crime movies/series where you have no idea who did it until the end.","prisoners,se7en,sherlock"
"3087LXLJ7WEI4Z3G3VRNN41GDSLF00","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:57 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:57 PST 2023","","","3HHRAGRYXJ3XTQ1GTWY8ST7D5H4O9U","A1NF6PELRKACS9","Submitted","Tue Feb 14 11:17:53 PST 2023","Tue Feb 14 11:18:27 PST 2023","Thu Feb 16 11:18:27 PST 2023","","","","34","100% (6/6)","0% (0/0)","0% (0/0)","Looking for movies where a goo amount of screen time is set in a prison/jail environment. 

US or foreign movies welcome","Movies about prison",","
"309D674SI9JCLAMGA9YBZFCW7JQCB8","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:59 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:59 PST 2023","","","3E4GGUZ1TJP33FV2AVR0BPIQF6KK2E","A2TBXASXZIRNNW","Submitted","Tue Feb 14 11:19:25 PST 2023","Tue Feb 14 11:19:44 PST 2023","Thu Feb 16 11:19:44 PST 2023","","","","19","0% (0/0)","0% (0/0)","0% (0/0)","&amp;#x200B;

I remember the ening where the female protagonist finally fins the man who, I believe, was hiing in her house an killing / kinapping others in it. Through a hole in a wall, I think, but I'm not sure. It was uring morning or afternoon.

Shortly after there is a scene in which they struggle an she is oing something with a Clothes Hanger-- kills him with it? I on't remember...","Looking for a specific ""Home Invasion"" Thriller/Horror film.",","
"30EV7DWJU5TJI16QAAZSLQINW6X6YP","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:56 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:56 PST 2023","","","3LPW2N6LK40958J1MSX0FJU0179U5M","A3TDUHEBFJ53NM","Submitted","Tue Feb 14 11:19:36 PST 2023","Tue Feb 14 11:20:33 PST 2023","Thu Feb 16 11:20:33 PST 2023","","","","57","0% (0/0)","0% (0/0)","0% (0/0)","Looking for films like shithouse,ege of seventeen, perks of being a wallflower , eighth grae
Films which are not just regular romantic comey set in highschool but rama films mae really well","Really well made college/school films","shithouse, ege of seventeen, perks of being a wallflower"
"30F94FBDO1IT7RORWVT1OPC0V5QBTQ","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:52 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:52 PST 2023","","","3S3AMIZX3538NRHUF7UJJPWM7O0CD2","A9HQ3E0F2AGVO","Submitted","Tue Feb 14 11:15:57 PST 2023","Tue Feb 14 11:16:21 PST 2023","Thu Feb 16 11:16:21 PST 2023","","","","24","100% (18/18)","100% (16/16)","100% (16/16)","I’m looking for a movie with a twist at the en. Maybe something similar to any m night shyamalan film (ie the village, sixth sense etc). Looking for films in the last ten years but oler r welcome also.","movie with twist ending","The Village, Sixth Sense"
"30IRMPJWE9HHKFFTYJ1ZNDU8UE2RKD","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:15:05 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:15:05 PST 2023","","","352YTHGRO6BM439H8O7RRCZW73E4HS","A9HQ3E0F2AGVO","Submitted","Tue Feb 14 11:24:19 PST 2023","Tue Feb 14 11:24:31 PST 2023","Thu Feb 16 11:24:31 PST 2023","","","","12","100% (18/18)","100% (16/16)","100% (16/16)","Hoping to fin some movies in the “girl vs …” category. 

Examples 

Crawl - girl vs gators

The Shallows - girl vs shark 


Any suggestions?","Girl vs …","Crawl, The Shallows"
"30OITAWPC01KEPIZYHYGJ0EMWBS9H4","3RPT4N9PT7LMVUF4PIOGVNH0Z7J4DC","Pick Out Movie Title from User Posts","Copy movie names that appears in the given text into the input text box, and separate them using","data collection","$0.15","Tue Feb 14 11:14:59 PST 2023","1","BatchId:5010677;OriginalHitTemplateId:928390845;","120","172800","Fri Feb 17 11:14:59 PST 2023","","","3907X2AHFB34E6SINNW8764P9GQ2PX","AMWIBULQ4S8K3","Submitted","Tue Feb 14 11:16:23 PST 2023","Tue Feb 14 11:16:31 PST 2023","Thu Feb 16 11:16:31 PST 2023","","","","8","100% (5/5)","100% (5/5)","100% (5/5)","I'm talking strictly total box office gross subtracte by a film's buget

I'm guessing it's either John Carpenter or Wes Anerson, but I woul lean towars Wes, given that most of his films are stylize to the extent that mass auiences wouln't enjoy his work, while Carpenter has mae some all-time great films that appeal to a lot of people. Mainstream experimental irectors like Linklater woul probably be also up there","What good director has the highest total of box office flops?",","
